Males	Females	Sequences	P	Signif
12	8	119	0.465122	False
12	9	145	0.652902	False
12	10	188	0.860129	False
12	11	226	1	False
12	12	169	1	False
12	13	167	0.915352	False
12	14	164	0.714643	False
12	15	176	0.533677	False
12	16	136	0.380236	False
12	17	149	0.2578	False
12	18	75	0.165864	False
12	19	37	0.100951	False
12	20	36	0.0579204	False
12	21	48	0.0312	False
12	22	9	0.0157051	False
12	23	11	0.00734718	False
12	24	11	0.0031741	False
12	25	2	0.00125686	False
12	26	4	0.00045217	False
12	27	0	0.000146268	False
12	28	0	4.20222e-05	False
12	29	0	1.05662e-05	False
12	30	0	2.28476e-06	False
13	0	1	0.000235938	False
13	1	3	0.00107023	False
13	2	6	0.00381982	False
13	3	30	0.0112005	False
13	4	24	0.0278867	False
13	5	29	0.0604923	False
13	6	48	0.116681	False
13	7	86	0.203436	False
13	8	111	0.324956	False
13	9	98	0.48091	False
13	10	99	0.665712	False
13	11	116	0.869146	False
13	12	140	1	False
13	13	155	1	False
13	14	156	0.9099	False
13	15	213	0.711155	False
13	16	164	0.531318	False
13	17	120	0.378303	False
13	18	91	0.255881	False
13	19	67	0.163856	False
13	20	53	0.0989584	False
13	21	29	0.0561221	False
13	22	32	0.0297406	False
13	23	22	0.014642	False
13	24	5	0.00665219	False
13	25	8	0.00276705	False
13	26	3	0.00104404	False
13	27	2	0.000353404	False
13	28	1	0.000105918	False
13	29	0	2.76673e-05	False
13	30	0	6.18016e-06	False
14	0	2	0.000105514	False
14	1	3	0.000493329	False
14	2	7	0.00183734	False
14	3	30	0.00566408	False
14	4	25	0.0148905	False
14	5	34	0.0341785	False
14	6	37	0.0697997	False
14	7	51	0.128784	False
14	8	124	0.217401	False
14	9	136	0.339339	False
14	10	141	0.494176	False
14	11	110	0.676688	False
14	12	133	0.877313	False
14	13	130	1	False
14	14	174	1	False
14	15	156	0.904179	False
14	16	222	0.70659	False
14	17	340	0.527322	False
14	18	155	0.374465	False
14	19	69	0.25207	False
14	20	81	0.160177	False
14	21	61	0.0956395	False
14	22	51	0.0533748	False
14	23	47	0.0276729	False
14	24	16	0.0132345	False
14	25	10	0.00579001	False
14	26	6	0.00229448	False
14	27	1	0.000814001	False
14	28	1	0.000254913	False
14	29	1	6.92797e-05	False
14	30	0	1.60065e-05	False
15	0	1	4.58101e-05	False
15	1	4	0.000220498	False
15	2	1	0.000854952	False
15	3	12	0.00276363	False
15	4	55	0.00765181	False
15	5	19	0.018543	False
15	6	32	0.0400237	False
15	7	47	0.0780525	False
15	8	91	0.139165	False
15	9	110	0.229122	False
15	10	82	0.35129	False
15	11	168	0.505248	False
15	12	131	0.686096	False
15	13	206	0.884788	False
15	14	179	1	False
15	15	472	1	False
15	16	147	0.898133	False
15	17	156	0.700933	False
15	18	173	0.521687	False
15	19	136	0.368725	False
15	20	121	0.246369	False
15	21	85	0.154842	False
15	22	56	0.0910253	False
15	23	32	0.0497284	False
15	24	21	0.0250583	False
15	25	20	0.0115444	False
15	26	7	0.00481196	False
15	27	1	0.0017921	False
15	28	0	0.000587411	False
15	29	0	0.000166375	False
15	30	1	3.98129e-05	False
16	0	0	1.92643e-05	False
16	1	1	9.53597e-05	False
16	2	0	0.00038418	False
16	3	94	0.00129918	False
16	4	3	0.0037798	False
16	5	16	0.00965087	False
16	6	12	0.0219791	False
16	7	48	0.0452483	False
16	8	135	0.0851488	False
16	9	76	0.147843	False
16	10	88	0.238743	False
16	11	116	0.361034	False
16	12	133	0.514364	False
16	13	137	0.694133	False
16	14	210	0.891696	False
16	15	147	1	False
16	16	184	1	False
16	17	253	0.891696	False
16	18	148	0.694133	False
16	19	147	0.514364	False
16	20	139	0.361034	False
16	21	70	0.238743	False
16	22	65	0.147843	False
16	23	42	0.0851488	False
16	24	66	0.0452483	False
16	25	14	0.0219791	False
16	26	3	0.00965087	False
16	27	1	0.0037798	False
16	28	1	0.00129918	False
16	29	1	0.00038418	False
16	30	0	9.53597e-05	False
17	0	0	7.82753e-06	False
17	1	1	3.98129e-05	False
17	2	4	0.000166375	False
17	3	2	0.000587411	False
17	4	2	0.0017921	False
17	5	8	0.00481196	False
17	6	16	0.0115444	False
17	7	9	0.0250583	False
17	8	32	0.0497284	False
17	9	44	0.0910253	False
17	10	30	0.154842	False
17	11	93	0.246369	False
17	12	95	0.368725	False
17	13	134	0.521687	False
17	14	177	0.700933	False
17	15	191	0.898133	False
17	16	159	1	False
17	17	127	1	False
17	18	209	0.884788	False
17	19	176	0.686096	False
17	20	127	0.505248	False
17	21	148	0.35129	False
17	22	119	0.229122	False
17	23	78	0.139165	False
17	24	69	0.0780525	False
17	25	31	0.0400237	False
17	26	14	0.018543	False
17	27	5	0.00765181	False
17	28	6	0.00276363	False
17	29	1	0.000854952	False
17	30	0	0.000220498	False
18	0	1	3.06513e-06	False
18	1	1	1.60065e-05	False
18	2	0	6.92797e-05	False
18	3	5	0.000254913	False
18	4	1	0.000814001	False
